0.000000000000000000e+00;2.200000000000000178e+00
1.000000000000000000e+00;4.099999999999999645e+00
2.000000000000000000e+00;5.900000000000000355e+00
3.000000000000000000e+00;8.199999999999999289e+00
4.000000000000000000e+00;9.800000000000000711e+00
5.000000000000000000e+00;1.190000000000000036e+01
6.000000000000000000e+00;1.309999999999999964e+01
7.000000000000000000e+00;1.600000000000000000e+01
8.000000000000000000e+00;1.810000000000000142e+01
9.000000000000000000e+00;1.980000000000000071e+01
